id,p_r0,r_r0,f1_r0,p_r1,r_r1,f1_r1,p_r2,r_r2,f1_r2,delta1_f1,delta2_f1,delta1_recall,delta2_recall
Q01,0.8086,0.9183,0.86,0.884,0.8943,0.8891,0.8879,0.8445,0.8657,0.0291,-0.0234,-0.024,-0.0498
Q02,0.8133,0.9173,0.8622,0.883,0.889,0.886,0.8911,0.8685,0.8797,0.0238,-0.0063,-0.0283,-0.0205
Q03,0.8166,0.9211,0.8657,0.8784,0.8789,0.8786,0.8912,0.8698,0.8804,0.0129,0.0018,-0.0422,-0.0091
Q04,0.8104,0.9189,0.8612,0.8898,0.8749,0.8823,0.8862,0.8624,0.8741,0.0211,-0.0082,-0.044,-0.0125
Q05,0.8187,0.9176,0.8653,0.8884,0.8902,0.8893,0.896,0.848,0.8713,0.024,-0.018,-0.0274,-0.0422
Q06,0.8157,0.9049,0.858,0.8614,0.8825,0.8718,0.8808,0.8659,0.8733,0.0138,0.0015,-0.0224,-0.0166
Q07,0.8166,0.9078,0.8598,0.8926,0.879,0.8857,0.8882,0.8554,0.8715,0.0259,-0.0142,-0.0288,-0.0236
Q08,0.8111,0.9282,0.8657,0.8907,0.8911,0.8909,0.8948,0.8623,0.8782,0.0252,-0.0127,-0.0371,-0.0288
Q09,0.8037,0.9128,0.8548,0.8808,0.8925,0.8866,0.8867,0.879,0.8828,0.0318,-0.0038,-0.0203,-0.0135
Q10,0.8018,0.909,0.852,0.8919,0.9008,0.8963,0.8936,0.8655,0.8793,0.0443,-0.017,-0.0082,-0.0353
Q11,0.8243,0.9191,0.8691,0.8722,0.8832,0.8777,0.8976,0.845,0.8705,0.0086,-0.0072,-0.0359,-0.0382
Q12,0.8103,0.9225,0.8628,0.8822,0.8945,0.8883,0.8942,0.8789,0.8865,0.0255,-0.0018,-0.028,-0.0156
Q13,0.8162,0.9139,0.8623,0.8799,0.8805,0.8802,0.8976,0.8529,0.8747,0.0179,-0.0055,-0.0334,-0.0276
Q14,0.8093,0.9275,0.8644,0.8785,0.8854,0.8819,0.8724,0.8483,0.8602,0.0175,-0.0217,-0.0421,-0.0371
Q15,0.8043,0.9242,0.8601,0.8957,0.8878,0.8917,0.8914,0.8595,0.8752,0.0316,-0.0165,-0.0364,-0.0283
Mean,0.8121,0.9175,0.8616,0.8833,0.887,0.8851,0.89,0.8604,0.8749,0.0235,-0.0102,-0.0306,-0.0266
